time,value
1544562099,2664348.196
1544562169,2655025.098
1544562273,2655669.583
1544562283,2652835.489
1544562293,2498159.092
1544562303,2751925.758
1544562313,2818936.155
1544562323,2850166.688
1544562333,2830521.804
1544562343,2855201.496
1544562353,2800317.089
1544562363,2765741.949
1544562373,2748229.549
1544562383,2737376.546
1544562393,2743138.028
1544562403,2753874.210
1544562413,2743357.975
1544562423,2756197.088
1544562433,2765113.585
1544562443,2740113.778
1544562453,2761199.196
1544562463,2744708.948
1544562473,2761543.710
1544562483,2749564.804
1544562493,2766770.971
1544562503,2740756.009
1544562513,2741579.163
1544562523,2427070.882
1544562533,2292439.697
1544562543,1971212.653
1544562553,2456790.527
1544562563,2497062.713
1544562573,2449878.593
1544562583,2490040.825
1544562593,2479828.787
1544562603,2494924.382
1544562613,2469482.616
1544562623,2364740.657
1544562633,2506606.952
1544562643,2477492.633
1544562653,2424674.237
1544562663,2522911.325
1544562673,2529769.365
1544562683,2527945.132
1544562693,2517233.526
1544562703,2577064.641
1544562713,2452513.148
1544562723,2534891.265
