time,value
1544562884,30787239936
1544562894,30898388992
1544562904,30732713984
1544562914,30732713984
1544562924,30405558272
1544562934,30649876480
1544562944,30759976960
1544562954,30678188032
1544562964,30569136128
1544562974,30595350528
1544562984,30705451008
1544562995,30650925056
1544563005,30514610176
1544563015,30569136128
1544563025,30678188032
1544563035,30649876480
1544563045,30788288512
1544563055,30622613504
1544563065,30596399104
1544563075,30788288512
1544563085,30925651968
1544563095,30953963520
1544563105,30898388992
1544563115,30925651968
1544563125,30732713984
1544563135,30569136128
1544563145,30596399104
1544563155,30898388992
1544563165,30953963520
1544563175,30898388992
1544563185,30898388992
1544563195,30982275072
1544563205,30898388992
1544563215,30815551488
1544563225,30406606848
1544563235,30870077440
1544563245,30569136128
1544563255,30815551488
1544563265,30953963520
1544563276,30705451008
1544563286,30432821248
1544563296,30352080896
1544563306,31010586624
1544563316,30870077440
1544563326,30842814464
1544563336,31066161152
1544563346,30815551488
1544563356,30787239936
