time,value
1544563573,0.002
1544563583,0.002
1544563593,0.002
1544563603,0.002
1544563613,0.002
1544563623,0.002
1544563633,0.002
1544563643,0.002
1544563653,0.002
1544563663,0.002
1544563673,0.002
1544563683,0.002
1544563693,0.002
1544563703,0.002
1544563713,0.002
1544563723,0.002
1544563733,0.002
1544563743,0.002
1544563753,0.002
1544563763,0.002
1544563773,0.002
1544563783,0.002
1544563793,0.002
1544563803,0.002
1544563813,0.002
1544563823,0.002
1544563833,0.002
1544563843,0.002
1544563853,0.002
1544563863,0.002
1544563873,0.001
1544563883,0.002
1544563893,0.002
1544563903,0.002
1544563913,0.002
1544563923,0.002
1544563933,0.002
1544563943,0.002
1544563953,0.002
1544563963,0.002
1544563973,0.002
1544563983,0.002
1544563993,0.002
1544564003,0.002
1544564013,0.002
1544564023,0.002
1544564033,0.002
1544564043,0.002
