time,value
1544561158,0.071
1544561344,0.070
1544561354,0.071
1544561364,0.070
1544561374,0.071
1544561384,0.070
1544561394,0.070
1544561404,0.070
1544561414,0.069
1544561424,0.070
1544561434,0.069
1544561444,0.070
1544561454,0.069
1544561464,0.069
1544561474,0.069
1544561484,0.069
1544561494,0.068
1544561504,0.068
1544561514,0.068
1544561524,0.069
1544561534,0.070
1544561544,0.069
1544561554,0.070
1544561564,0.070
1544561574,0.069
1544561584,0.070
1544561594,0.076
1544561604,0.075
1544561614,0.073
1544561624,0.075
1544561634,0.073
1544561644,0.073
1544561654,0.074
1544561664,0.074
1544561674,0.074
1544561684,0.080
1544561694,0.077
1544561704,0.075
1544561714,0.075
1544561724,0.074
1544561734,0.074
1544561744,0.074
1544561754,0.073
1544561764,0.085
1544561774,0.092
1544561784,0.106
1544561794,0.090
1544561804,0.089
