time,value
1544554329,0:02.33
1544554333,0:03.54
1544554337,0:03.56
1544554341,0:02.36
1544554346,0:03.40
1544554350,0:02.37
1544554353,0:02.47
1544554356,0:02.76
1544554361,0:03.84
1544554368,0:02.92
1544554375,0:03.09
1544554382,0:02.56
1544554387,0:02.47
1544554392,0:03.33
1544554396,0:02.59
1544554399,0:04.17
1544554405,0:02.61
1544554408,0:02.70
1544554412,0:02.70
1544554415,0:03.13
1544554419,0:04.08
1544554424,0:02.45
1544554427,0:02.42
1544554430,0:03.02
1544554435,0:03.72
1544554440,0:02.21
1544554443,0:02.58
1544554446,0:02.58
1544554449,0:02.66
1544554453,0:02.69
1544554457,0:03.93
1544554462,0:02.58
1544554466,0:02.34
1544554468,0:02.66
1544554473,0:02.56
1544554479,0:03.59
1544554483,0:02.55
1544554487,0:03.45
1544554492,0:03.97
1544554496,0:02.49
1544554500,0:02.52
1544554503,0:02.46
1544554506,0:02.48
1544554509,0:02.61
1544554512,0:02.51
1544554516,0:02.58
1544554519,0:02.85
1544554523,0:03.85
