time,value
1545241075,846
1545241087,923
1545241100,913
1545241112,841
1545241126,931
1545241139,964
1545241152,851
1545241165,903
1545241178,940
1545241191,908
1545241204,901
1545241217,1023
1545241230,895
1545241243,722
1545241257,944
1545241270,852
1545241284,1134
1545241297,852
1545241309,890
1545241322,867
1545241335,896
1545241349,801
1545241362,2695
1545241372,2650
1545241383,2507
1545241394,2805
1545241405,2465
1545241416,2579
1545241427,2772
1545241437,2549
1545241448,2503
1545241459,2642
1545241470,2543
1545241481,2489
1545241492,2424
1545241503,2656
1545241514,2629
1545241524,2589
1545241535,2423
1545241546,2504
1545241557,2515
1545241568,2552
1545241579,2780
1545241589,2435
1545241600,2558
1545241611,2760
1545241622,2446
1545241633,2546
