time,value
1544887112,0.115
1544887152,0.114
1544887192,0.114
1544887234,0.115
1544887274,0.113
1544887316,0.118
1544887357,0.112
1544887398,0.251
1544887438,0.111
1544887480,0.109
1544887522,0.123
1544887564,0.130
1544887614,0.189
1544887661,0.202
1544887788,0.119
1544887835,0.114
1544888028,0.114
1544888069,0.116
1544888109,0.117
1544888151,0.119
1544888192,0.118
1544888232,0.115
1544888272,0.117
1544888355,0.125
1544888397,0.114
1544888437,0.117
1544888478,0.115
1544888519,0.117
1544888560,0.116
1544888601,0.115
1544888647,0.116
1544888692,0.116
1544888737,0.114
1544888783,0.117
1544888828,0.116
1544888874,0.117
1544888920,0.117
1544888966,0.117
1544889011,0.116
1544889057,0.118
1544889102,0.117
1544889147,0.119
1544889389,0.113
1544889430,0.114
1544889472,0.109
1544889512,0.113
1544889553,0.114
1544889594,0.112
