time,value
1544884845,0:22.78
1544884874,0:23.68
1544884902,0:27.72
1544884930,0:26.52
1544884956,0:26.75
1544884983,0:27.07
1544885011,0:26.57
1544885037,0:26.30
1544885064,0:26.88
1544885091,0:26.73
1544885118,0:25.72
1544885144,0:20.71
1544885170,0:25.61
1544885196,0:26.28
1544885223,0:27.28
1544885250,0:25.94
1544885276,0:26.51
1544885303,0:26.10
1544885329,0:17.65
1544885356,0:26.75
1544885383,0:27.41
1544885410,0:23.31
1544885438,0:27.37
1544885466,0:25.32
1544885493,0:27.26
1544885521,0:26.54
1544885550,0:26.07
1544885576,0:27.23
1544885604,0:27.04
1544885631,0:27.19
1544885659,0:26.73
1544885686,0:20.43
1544885713,0:17.49
1544885740,0:26.83
1544885767,0:25.91
1544885793,0:26.93
1544885994,0:19.78
1544886024,0:28.51
1544886053,0:28.13
1544886081,0:22.59
1544886109,0:27.56
1544886136,0:21.12
1544886194,0:13.97
1544886231,0:09.40
1544886259,0:09.30
1544886288,0:26.44
1544886344,0:26.41
1544886371,0:18.62
