time,value
1544549719,2948033.132
1544549761,2951271.475
1544549802,2968350.352
1544549845,2940222.837
1544549887,2944704.106
1544549929,2943150.980
1544549971,2954056.584
1544550013,2391819.608
1544550055,2984963.635
1544550098,2959462.207
1544550140,2967975.150
1544550182,2967065.043
1544550224,2948081.728
1544550266,2951270.664
1544550309,2961210.733
1544550351,2946804.198
1544550393,2948443.815
1544550435,2986493.889
1544550477,2944983.730
1544550519,2946326.825
1544550562,2074218.518
1544550605,2954435.595
1544550647,2950788.597
1544550689,2969928.551
1544550731,2916867.025
1544550772,2938438.651
1544550814,2969161.834
1544550857,2894517.097
1544550898,2873597.077
1544550939,2853503.040
1544550982,2783844.810
1544551024,2961273.657
1544551066,2192464.941
1544551108,2975668.053
1544551150,2979475.291
1544551191,2991659.467
1544551233,2950920.866
1544551275,2969777.313
1544551317,2963797.697
1544551359,2963195.332
1544551401,2955013.246
1544551443,2942202.788
1544551485,2931193.795
1544551527,2981458.775
1544551568,2967548.340
1544551610,2966485.952
1544551652,2958073.679
1544551694,2915886.564
