time,value
1544549739,31992053760
1544549781,25338839040
1544549823,25338839040
1544549865,25338839040
1544549907,25338839040
1544549949,25338839040
1544549991,25301090304
1544550033,25301090304
1544550075,25375539200
1544550118,25301090304
1544550160,25338839040
1544550202,25312624640
1544550244,25301090304
1544550286,25301090304
1544550329,25375539200
1544550371,25338839040
1544550413,25338839040
1544550455,25301090304
1544550497,25375539200
1544550539,25301090304
1544550583,25338839040
1544550625,25338839040
1544550667,25338839040
1544550709,25305284608
1544550751,25301090304
1544550792,25338839040
1544550834,25301090304
1544550877,24507318272
1544550918,24367857664
1544550959,25950158848
1544551002,25301090304
1544551044,25338839040
1544551086,25338839040
1544551128,25338839040
1544551170,25301090304
1544551211,25338839040
1544551253,25301090304
1544551295,25375539200
1544551337,25301090304
1544551379,25301090304
1544551421,25301090304
1544551463,25375539200
1544551505,25273827328
1544551547,25338839040
1544551588,25375539200
1544551630,25338839040
1544551672,25338839040
1544551714,25301090304
