time,value
1545240145,81588
1545240155,82904
1545240166,82099
1545240176,56318
1545240186,80659
1545240196,82979
1545240206,83716
1545240216,83114
1545240226,81939
1545240236,83314
1545240246,83308
1545240256,83805
1545240267,83618
1545240277,82513
1545240288,83832
1545240298,83681
1545240308,82202
1545240318,83833
1545240328,81141
1545240338,83591
1545240348,82747
1545240358,82254
1545240368,82852
1545240378,83506
1545240389,83748
1545240399,82900
1545240409,82962
1545240419,81843
1545240429,82617
1545240439,82669
1545240449,82591
1545240460,82747
1545240470,56901
1545240481,79981
1545240491,82254
1545240501,81639
1545240511,78752
1545240521,83859
1545240531,82617
1545240541,82435
1545240551,83299
1545240561,81703
1545240571,83406
1545240581,83538
1545240591,82902
1545240601,82695
1545240611,82669
1545240621,54968
