time,value
1544549749,0.002
1544549791,0.002
1544549833,0.002
1544549875,0.002
1544549917,0.002
1544549959,0.002
1544550001,0.002
1544550043,0.002
1544550085,0.002
1544550128,0.002
1544550170,0.002
1544550212,0.002
1544550254,0.002
1544550297,0.002
1544550339,0.002
1544550381,0.002
1544550423,0.002
1544550465,0.002
1544550507,0.002
1544550549,0.002
1544550593,0.002
1544550635,0.002
1544550677,0.002
1544550719,0.002
1544550761,0.002
1544550802,0.002
1544550845,0.002
1544550887,0.001
1544550928,0.001
1544550970,0.002
1544551012,0.002
1544551054,0.002
1544551096,0.002
1544551138,0.002
1544551180,0.002
1544551221,0.002
1544551263,0.002
1544551305,0.002
1544551347,0.002
1544551389,0.002
1544551431,0.002
1544551473,0.002
1544551515,0.002
1544551557,0.002
1544551598,0.002
1544551640,0.002
1544551682,0.002
1544551724,0.002
