time,value
1544549729,0.070
1544549771,0.070
1544549813,0.069
1544549855,0.069
1544549897,0.070
1544549939,0.070
1544549981,0.070
1544550023,0.099
1544550065,0.070
1544550108,0.070
1544550150,0.070
1544550192,0.069
1544550234,0.071
1544550276,0.070
1544550319,0.070
1544550361,0.070
1544550403,0.070
1544550445,0.070
1544550487,0.070
1544550529,0.070
1544550572,0.070
1544550615,0.070
1544550657,0.070
1544550699,0.070
1544550741,0.072
1544550782,0.070
1544550824,0.070
1544550867,0.070
1544550908,0.070
1544550949,0.070
1544550992,0.070
1544551034,0.070
1544551076,0.077
1544551118,0.070
1544551160,0.070
1544551201,0.070
1544551243,0.070
1544551285,0.070
1544551327,0.070
1544551369,0.070
1544551411,0.070
1544551453,0.070
1544551495,0.079
1544551537,0.070
1544551578,0.070
1544551620,0.070
1544551662,0.070
1544551704,0.070
