time,value
1544549759,0:01.44
1544549801,0:01.47
1544549843,0:01.31
1544549885,0:01.49
1544549927,0:01.40
1544549969,0:01.43
1544550011,0:01.37
1544550053,0:01.34
1544550095,0:01.43
1544550138,0:01.54
1544550180,0:01.39
1544550222,0:01.36
1544550264,0:01.27
1544550307,0:01.69
1544550349,0:01.60
1544550391,0:01.41
1544550433,0:01.28
1544550475,0:01.43
1544550517,0:01.33
1544550559,0:01.79
1544550603,0:01.21
1544550645,0:01.49
1544550687,0:01.32
1544550729,0:01.40
1544550771,0:01.51
1544550812,0:01.27
1544550855,0:01.27
1544550897,0:01.35
1544550938,0:01.53
1544550980,0:01.47
1544551022,0:01.53
1544551064,0:01.27
1544551106,0:01.22
1544551148,0:01.11
1544551190,0:01.53
1544551231,0:01.48
1544551273,0:01.46
1544551315,0:01.50
1544551357,0:01.22
1544551399,0:01.21
1544551441,0:01.19
1544551483,0:01.17
1544551525,0:01.49
1544551567,0:01.49
1544551608,0:01.15
1544551650,0:01.33
1544551692,0:01.20
1544551734,0:01.24
