time,value
1544897337,38033.612
1544897385,37915.116
1544897433,37989.533
1544897483,35165.609
1544897531,35903.501
1544897579,36242.791
1544897628,35410.644
1544897676,36107.043
1544897725,34790.671
1544897776,32636.051
1544897819,32635.790
1544897859,32757.735
1544897974,30023.281
1544898004,38704.526
1544898035,27277.252
1544898067,30352.154
1544898097,33000.273
1544898128,30250.310
1544898159,33031.909
1544898189,33360.081
1544898220,32738.284
1544898251,32998.169
1544898281,29053.292
1544898311,41925.127
1544898342,23662.435
1544898374,35683.910
1544898404,35738.659
1544898435,35155.426
1544898466,34054.955
1544898497,35306.303
1544898527,34938.322
1544898557,35998.673
1544898587,36040.603
1544898617,34815.556
1544898648,34238.293
1544898679,35632.986
1544898710,35614.739
1544898741,36089.105
1544898771,33626.297
1544898802,36849.145
1544898832,35950.796
1544898863,28455.954
1544898894,34369.536
1544898925,36066.666
1544898955,35250.987
1544898985,35504.895
1544899015,35829.370
1544899046,36348.353
