time,value
1544900478,2313158656
1544900499,2805989376
1544900521,5535432704
1544900543,5992611840
1544900564,5983174656
1544900585,6095372288
1544900605,6042943488
1544900678,1747976192
1544900701,6730809344
1544900722,7411335168
1544900744,6642728960
1544900786,8820621312
1544900807,4843372544
1544900832,3155165184
1544900853,8259633152
1544900873,8587837440
1544900894,8725200896
1544900915,9065988096
1544901130,9177137152
1544901151,8886681600
1544901172,9137291264
1544901212,9196011520
1544901233,8980004864
1544901275,8818524160
1544901296,9235857408
1544901316,9108979712
1544901337,9171894272
1544901358,9336520704
1544901379,8711569408
1544901440,9186574336
1544901460,9041870848
1544901480,6119489536
1544901501,9261023232
1544901522,9331277824
1544901542,5268045824
1544901564,2599419904
1544901586,4493148160
1544901607,5050990592
1544901629,4942987264
1544901651,4540334080
1544901673,4847566848
1544901695,4789895168
1544901717,5016387584
1544901739,4365221888
1544901760,4789895168
1544901782,4603248640
1544901803,4430233600
1544901824,4871684096
