time,value
1544896770,0.136
1544896812,0.140
1544896853,0.141
1544896895,0.142
1544896944,0.170
1544896993,0.167
1544897041,0.168
1544897088,0.172
1544897136,0.168
1544897184,0.206
1544897233,0.182
1544897280,0.174
1544897327,0.168
1544897375,0.175
1544897423,0.164
1544897473,0.185
1544897521,0.184
1544897569,0.186
1544897617,0.190
1544897666,0.183
1544897715,0.194
1544897766,0.227
1544897809,0.199
1544897849,0.195
1544897964,0.169
1544897994,0.160
1544898025,0.156
1544898057,0.224
1544898087,0.215
1544898118,0.227
1544898149,0.214
1544898179,0.226
1544898210,0.215
1544898241,0.239
1544898271,0.224
1544898301,0.135
1544898332,0.130
1544898363,0.210
1544898394,0.198
1544898425,0.201
1544898456,0.191
1544898487,0.203
1544898517,0.192
1544898547,0.201
1544898577,0.183
1544898607,0.187
1544898638,0.185
1544898669,0.197
